datetm;SONDAWS50;NASAWS50
2006-01-01 00:00:00;7.87;6.99
2006-01-01 01:00:00;7.06;6.82
2006-01-01 02:00:00;5.93;6.67
2006-01-01 03:00:00;4.0;6.63
2006-01-01 04:00:00;4.42;7.06
2006-01-01 05:00:00;4.81;7.4
2006-01-01 06:00:00;4.31;7.44
2006-01-01 07:00:00;5.17;9.6
2006-01-01 08:00:00;4.02;9.97
2006-01-01 09:00:00;2.94;9.09
2006-01-01 10:00:00;4.41;8.29
2006-01-01 11:00:00;5.79;7.8
2006-01-01 12:00:00;6.38;7.44
2006-01-01 13:00:00;6.72;7.25
2006-01-01 14:00:00;6.81;7.31
2006-01-01 15:00:00;6.87;7.55
2006-01-01 16:00:00;6.26;7.88
2006-01-01 17:00:00;6.6;8.37
2006-01-01 18:00:00;7.0;8.81
2006-01-01 19:00:00;8.2;8.72
2006-01-01 20:00:00;6.88;8.54
2006-01-01 21:00:00;5.67;8.44
2006-01-01 22:00:00;7.34;8.08
2006-01-01 23:00:00;7.96;7.22
2006-01-02 00:00:00;8.54;6.94
2006-01-02 01:00:00;7.77;6.74
2006-01-02 02:00:00;6.98;6.61
2006-01-02 03:00:00;6.6;6.45
2006-01-02 04:00:00;6.05;6.18
2006-01-02 05:00:00;4.31;6.36
2006-01-02 06:00:00;4.15;6.22
2006-01-02 07:00:00;3.25;7.31
2006-01-02 08:00:00;2.84;7.41
2006-01-02 09:00:00;3.57;6.85
2006-01-02 10:00:00;5.05;6.35
2006-01-02 11:00:00;5.21;5.82
2006-01-02 12:00:00;5.18;5.44
2006-01-02 13:00:00;4.27;5.45
2006-01-02 14:00:00;3.86;5.78
2006-01-02 15:00:00;3.44;6.19
2006-01-02 16:00:00;4.24;6.69
2006-01-02 17:00:00;3.85;7.53
2006-01-02 18:00:00;3.88;8.47
2006-01-02 19:00:00;5.94;8.69
2006-01-02 20:00:00;8.14;8.59
2006-01-02 21:00:00;8.37;8.18
2006-01-02 22:00:00;7.6;7.49
2006-01-02 23:00:00;6.85;7.02
2006-01-03 00:00:00;6.72;7.14
2006-01-03 01:00:00;5.84;7.0
2006-01-03 02:00:00;7.0;6.43
2006-01-03 03:00:00;6.27;5.96
2006-01-03 04:00:00;5.68;5.55
2006-01-03 05:00:00;5.03;5.31
2006-01-03 06:00:00;4.1;5.25
2006-01-03 07:00:00;2.34;6.51
2006-01-03 08:00:00;3.21;6.6
2006-01-03 09:00:00;4.07;6.14
2006-01-03 10:00:00;5.36;5.57
