YEAR,MO,DY,HR,WS50M,WD50M
2006,1,1,0,6.99,118.2
2006,1,1,1,6.82,119.3
2006,1,1,2,6.67,121.1
2006,1,1,3,6.63,122.4
2006,1,1,4,7.06,121.8
2006,1,1,5,7.4,121.5
2006,1,1,6,7.44,121.3
2006,1,1,7,9.6,116.9
2006,1,1,8,9.97,114.0
2006,1,1,9,9.09,112.8
2006,1,1,10,8.29,112.3
2006,1,1,11,7.8,111.8
2006,1,1,12,7.44,110.6
2006,1,1,13,7.25,110.2
2006,1,1,14,7.31,109.8
2006,1,1,15,7.55,109.2
2006,1,1,16,7.88,108.0
2006,1,1,17,8.37,105.7
2006,1,1,18,8.81,101.7
2006,1,1,19,8.72,99.3
2006,1,1,20,8.54,101.4
2006,1,1,21,8.44,107.2
2006,1,1,22,8.08,112.5
2006,1,1,23,7.22,116.4
2006,1,2,0,6.94,121.3
2006,1,2,1,6.74,126.0
2006,1,2,2,6.61,128.8
2006,1,2,3,6.45,131.0
2006,1,2,4,6.18,134.1
2006,1,2,5,6.36,135.9
2006,1,2,6,6.22,136.6
2006,1,2,7,7.31,131.3
2006,1,2,8,7.41,126.1
2006,1,2,9,6.85,122.2
2006,1,2,10,6.35,118.8
2006,1,2,11,5.82,116.3
2006,1,2,12,5.44,115.0
2006,1,2,13,5.45,113.9
2006,1,2,14,5.78,112.4
2006,1,2,15,6.19,110.2
2006,1,2,16,6.69,106.3
2006,1,2,17,7.53,99.9
2006,1,2,18,8.47,93.5
2006,1,2,19,8.69,89.9
2006,1,2,20,8.59,90.1
2006,1,2,21,8.18,92.0
2006,1,2,22,7.49,94.5
2006,1,2,23,7.02,98.5
2006,1,3,0,7.14,102.1
2006,1,3,1,7.0,105.2
2006,1,3,2,6.43,109.1
2006,1,3,3,5.96,112.8
2006,1,3,4,5.55,115.9
2006,1,3,5,5.31,117.6
2006,1,3,6,5.25,117.9
2006,1,3,7,6.51,112.4
2006,1,3,8,6.6,110.4
2006,1,3,9,6.14,109.2
